totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;0;1892;0;31447;
2000;0;1974;0;31608;
3000;0;1866;0;31960;
4000;0;1891;0;31565;
1000;0;2727;0;29950;
2000;14;7060;0;17684;
1000;0;2403;0;172562;
2000;0;2218;0;172399;
3000;0;2507;0;172329;
4000;0;2873;0;170616;
5000;0;4996;0;158975;
6000;0;8721;0;144248;
7000;0;13002;0;130957;
1000;879;17544;0;2761;
2000;885;17699;0;2479;
3000;891;18075;0;2424;
4000;897;17666;0;2210;
5000;894;17833;0;2236;
6000;872;17842;0;2882;
7000;882;17417;0;2327;
8000;896;17716;0;2356;
9000;871;17774;0;3502;
10000;864;17513;0;3365;
11000;893;18000;0;2685;
12000;890;17350;0;2676;
13000;870;17956;0;2792;
14000;886;17775;0;2642;
15000;880;17667;0;2632;
16000;884;17821;0;2412;
1000;0;2694;0;29716;
2000;11;6118;0;18654;
3000;84;9126;0;13891;
1000;0;2534;0;30679;
2000;17;6265;0;18845;
3000;64;8925;0;13849;
4000;129;10268;0;12493;
1000;0;2135;0;29608;
2000;0;2348;0;29040;
3000;0;2538;0;28548;
1000;0;1939;0;32588;
1000;0;1932;0;32493;
2000;0;1949;0;31701;
1000;0;2650;0;30002;
1000;0;1851;0;32741;
1000;0;1880;0;32996;
2000;0;1956;0;32089;
3000;0;1976;0;32938;
4000;0;2105;0;31581;
5000;7;5051;0;26304;
6000;25;7831;0;20979;
1000;0;1885;0;32914;
1000;0;2676;0;29832;
1000;0;2043;0;33224;
2000;0;2696;0;29921;
3000;22;6490;0;19004;
1000;0;2636;0;30832;
2000;10;6248;0;19152;
3000;65;9480;0;13882;
1000;0;2531;0;29906;2022-02-24T23:26:28.442248300;
2000;0;3502;0;23861;2022-02-24T23:26:39.065995200;
3000;0;4171;0;21436;2022-02-24T23:26:51.073199900;
4000;0;5452;0;19724;2022-02-24T23:27:06.645460;
5000;2;6067;0;19155;2022-02-24T23:27:24.164585400;
6000;12;7060;0;18543;2022-02-24T23:27:44.385192600;
7000;20;7545;0;17657;2022-02-24T23:28:06.728592800;
8000;32;8360;0;17122;2022-02-24T23:28:31.327455100;
9000;40;8421;0;16375;2022-02-24T23:28:56.048782100;
10000;49;8755;0;16204;2022-02-24T23:29:21.496173900;
11000;95;9289;0;14965;2022-02-24T23:29:48.084225600;
1000;0;2900;0;349098;2022-02-24T23:47:39.334538100;
1000;0;2899;0;349194;2022-02-24T23:49:36.045830900;
2000;0;2936;0;348065;2022-02-24T23:50:16.707517700;
3000;0;3033;0;346495;2022-02-24T23:50:57.002305100;
4000;0;3201;0;344451;2022-02-24T23:51:39.645631500;
1000;0;2591;0;28734;2022-02-24T23:52:27.490659300;
2000;0;3105;0;24949;2022-02-24T23:52:42.329551500;
3000;0;3855;0;22632;2022-02-24T23:53:00.329985400;
4000;1;4643;0;22019;2022-02-24T23:53:22.097270800;
5000;3;5833;0;20117;2022-02-24T23:53:49.614420800;
1000;0;2386;0;351887;2022-02-25T00:00:52.240540500;
2000;0;2418;0;353137;2022-02-25T00:01:06.087101400;
291000;855;18206;0;2449;2022-02-25T19:12:47.299039600;
291000;770;16776;0;11705;2022-02-27T13:34:34.023340900;
292000;767;16521;0;12330;2022-02-27T13:36:51.248305500;
293000;809;17430;0;8771;2022-02-27T13:39:17.038608800;
294000;808;17322;0;8054;2022-02-27T13:41:38.950675200;
295000;804;17454;0;8942;2022-02-27T13:44:06.136186900;
296000;808;17407;0;8614;2022-02-27T13:46:27.841392200;
297000;840;18061;0;6875;2022-02-27T13:48:58.968450400;
298000;821;18071;0;8221;2022-02-27T13:51:26.616196;
299000;831;17946;0;7087;2022-02-27T13:53:55.089642100;
300000;805;17421;0;8313;2022-02-27T13:56:16.988152700;
301000;823;17583;0;7814;2022-02-27T13:58:44.065182700;
302000;801;17615;0;7909;2022-02-27T14:01:09.257594800;
303000;841;17816;0;7609;2022-02-27T14:03:38.263851600;
1000;0;2273;0;38787;2022-03-03T21:27:47.669948900;
2000;0;2233;0;37574;2022-03-03T21:28:23.505443700;
3000;0;2187;0;38768;2022-03-03T21:28:58.348140600;
4000;0;2172;0;38194;2022-03-03T21:29:30.864702900;
5000;0;2236;0;38751;2022-03-03T21:30:08.113809600;
6000;0;2208;0;39569;2022-03-03T21:30:39.984495;
7000;0;2129;0;39316;2022-03-03T21:31:13.788311700;
1000;0;2204;0;40099;2022-03-03T21:32:13.412609500;
2000;0;2205;0;39138;2022-03-03T21:32:45.147828;
3000;0;2160;0;38944;2022-03-03T21:33:17.526497900;
4000;0;2721;0;38130;2022-03-03T21:33:55.927626800;
1000;1;2312;0;39534;2022-03-03T21:35:53.217414500;
2000;0;2233;0;38077;2022-03-03T21:36:27.532429;
3000;0;2274;0;38049;2022-03-03T21:37:01.123865800;
4000;0;2184;0;38882;2022-03-03T21:37:32.474610700;
5000;0;2319;0;38301;2022-03-03T21:38:07.633132200;
6000;0;2199;0;39048;2022-03-03T21:38:38.226314600;
7000;1;2170;0;38136;2022-03-03T21:39:08.487692;
8000;0;2159;0;37973;2022-03-03T21:39:41.743541900;
9000;0;2240;0;38429;2022-03-03T21:40:14.144324500;
1000;0;2132;0;40739;2022-03-03T21:41:06.860657800;
2000;0;2073;0;38406;2022-03-03T21:41:39.390716800;
3000;0;2034;0;39339;2022-03-03T21:42:09.979904700;
4000;0;2030;0;38653;2022-03-03T21:42:38.540778400;
1000;0;2125;0;38865;2022-03-03T21:44:35.790671900;
2000;0;2170;0;37921;2022-03-03T21:45:05.147488900;
1000;0;2161;0;37548;2022-03-03T21:45:53.709966400;
1000;9;5666;0;26519;2022-03-05T14:09:04.799360700;
2000;67;9574;0;18035;2022-03-05T14:10:13.617296200;
3000;134;10875;0;14507;2022-03-05T14:11:32.947526900;
1000;0;4192;0;33338;2022-03-05T14:12:45.874430;
2000;73;9869;0;18408;2022-03-05T14:14:01.248616600;
3000;165;11471;0;15506;2022-03-05T14:15:23.346145;
4000;213;12219;0;14768;2022-03-05T14:16:55.444724800;
5000;244;13033;0;12891;2022-03-05T14:18:30.653727900;
6000;310;13980;0;11438;2022-03-05T14:20:16.003087100;
1000;0;2052;0;362155;2022-03-05T14:22:05.555500200;
2000;0;4789;0;354862;2022-03-05T14:23:42.034380300;
3000;0;11134;0;342425;2022-03-05T14:27:18.922979100;
1000;0;2457;0;34059;2022-03-05T14:28:53.591215700;
2000;0;2363;0;34146;2022-03-05T14:29:12.379837700;
3000;0;2287;0;35631;2022-03-05T14:29:30.446783300;
1000;0;2370;0;37178;2022-03-05T14:30:10.675624300;
2000;0;2670;0;33086;2022-03-05T14:30:31.587830400;
1000;0;2355;0;37948;2022-03-05T14:31:22.710108500;
1000;1;3850;0;34693;2022-03-05T14:32:44.546096400;
1000;0;2029;0;38219;2022-03-05T14:34:06.802812;
1000;0;2774;0;32961;2022-03-05T14:34:57.225496900;
2000;0;2309;0;36548;2022-03-05T14:35:16.805081800;
1000;0;2148;0;361469;2022-03-05T14:37:36.301453100;
2000;0;3731;0;356896;2022-03-05T14:38:50.078688;
1000;0;2480;0;360057;2022-03-05T14:40:13.747368100;
2000;0;2664;0;361385;2022-03-05T14:41:08.855173100;
3000;0;2187;0;361611;2022-03-05T14:41:51.104637200;
1000;0;2278;0;361439;2022-03-05T14:42:51.260853200;
2000;0;6240;0;350299;2022-03-05T14:44:56.005974;
1000;1;2111;0;38006;2022-03-10T21:24:57.398550900;
1000;0;2419;0;37670;2022-03-10T21:25:39.659529500;
1000;0;2440;0;361610;2022-03-10T21:31:44.672023200;
1000;0;1997;0;363654;2022-03-10T22:34:36.979853200;
1000;1;3894;0;32118;2022-03-10T22:35:59.928303400;
1000;1;4356;0;32301;2022-03-11T00:23:10.504217;
2000;120;10567;0;15906;2022-03-11T00:25:14.101641400;
1000;1;3378;0;34965;2022-03-11T00:26:49.687975600;
1000;0;2557;0;360914;2022-03-11T00:50:25.498884400;
1000;0;2634;0;360164;2022-03-11T14:33:54.921927600;
2000;0;5022;0;352153;2022-03-11T14:36:51.083498200;
1000;854;17891;0;7241;2022-04-07T11:27:04.694277400;
2000;855;17611;0;7769;2022-04-07T11:28:17.993191900;
3000;841;17718;0;7851;2022-04-07T11:29:31.201264900;
4000;863;17962;0;6867;2022-04-07T11:30:44.806557400;
5000;849;17524;0;7739;2022-04-07T11:31:56.600455300;
6000;845;17755;0;7552;2022-04-07T11:33:09.197912500;
1000;4;5295;4299;22012;2022-04-21T01:18:51.257424500;
2000;8;6557;5565;20844;2022-04-21T01:20:13.506746;
1000;0;4158;346014;2022-04-22T19:38:54.083635100;
1000;0;3669;28275;2022-04-23T11:34:48.845255900;
2000;1;5866;22583;2022-04-23T11:35:11.605277700;
1000;1;2726;37881;2022-04-26T01:51:36.350760100;
2000;0;2597;37508;2022-04-26T01:51:41.683627500;
3000;0;2755;38701;2022-04-26T01:51:47.306831400;
1000;1;2455;43868;2022-04-26T01:53:12.331599900;
2000;0;2554;44122;2022-04-26T01:53:21.539189900;
3000;0;2457;44732;2022-04-26T01:53:30.552895600;
4000;0;2407;43516;2022-04-26T01:53:39.188820700;
1000;0;3641;31095;2022-04-26T01:56:40.695317;
2000;15;6673;24920;2022-04-26T01:57:15.867366800;
1000;1;3443;31815;2022-04-26T02:05:19.589817600;
1000;0;3694;30029;2022-05-02T23:43:04.752239100;
