totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;0;3474;0;344122;2022-02-25T00:55:58.202;
2000;0;5544;0;341215;2022-02-25T01:00:06.386;
3000;0;11267;0;330005;2022-02-25T01:07:52.865;
4000;0;14776;0;327258;2022-02-25T01:18:23.461;
5000;0;18785;0;318172;2022-02-25T01:31:17.331;
6000;0;21025;0;314973;2022-02-25T01:45:55.473;
7000;0;24157;0;308546;2022-02-25T02:02:56.509;
8000;0;28359;0;301207;2022-02-25T02:22:27.237;
9000;0;29526;0;298543;2022-02-25T02:42:59.215;
10000;0;33234;0;293397;2022-02-25T03:06:14.509;
11000;0;33238;0;292681;2022-02-25T03:29:12.859;
12000;0;36652;0;287780;2022-02-25T03:54:58.572;
13000;0;38537;0;283649;2022-02-25T04:21:50.285;
14000;0;41768;0;276885;2022-02-25T04:50:44.711;
15000;0;40076;0;280717;2022-02-25T05:18:36.136;
16000;0;43834;0;273789;2022-02-25T05:49:11.576;
17000;0;45427;0;270100;2022-02-25T06:20:55.218;
18000;0;46291;0;271201;2022-02-25T06:52:58.142;
19000;0;46000;0;271029;2022-02-25T07:25:00.925;
20000;0;49320;0;265441;2022-02-25T07:59:31.285;
21000;0;51084;0;261483;2022-02-25T08:35:05.227;
22000;0;52628;0;257943;2022-02-25T09:12:00.655;
23000;1;52583;0;259089;2022-02-25T09:48:40.014;
24000;1;52677;0;259841;2022-02-25T10:25:14.769;
25000;1;52099;0;260097;2022-02-25T11:01:30.857;
26000;1;55579;0;255604;2022-02-25T11:40:14.750;
27000;2;56633;0;253240;2022-02-25T12:19:54.984;
28000;1;55225;0;256704;2022-02-25T12:58:15.383;
29000;1;57970;0;249689;2022-02-25T13:38:55.050;
30000;4;60199;0;246632;2022-02-25T14:21:03.358;
31000;7;61100;0;245226;2022-02-25T15:04:50.164;
32000;6;60690;0;245291;2022-02-25T15:51:02.137;
33000;5;61686;0;244850;2022-02-25T16:36:34.447;
34000;3;56309;0;254076;2022-02-25T17:17:38.086;
35000;5;62070;0;245048;2022-02-25T18:01:20.122;
36000;4;65372;0;238578;2022-02-25T18:46:55.555;
37000;13;65714;0;238323;2022-02-25T19:28:47.711;
38000;8;66463;0;237847;2022-02-25T20:12:21.981;
39000;10;66349;0;238389;2022-02-25T20:55:53.818;
40000;7;68227;0;233473;2022-02-25T21:40:27.397;
41000;13;68975;0;232194;2022-02-25T22:25:37.425;
42000;9;70948;0;228919;2022-02-25T23:12:11.262;
43000;19;65207;0;239696;2022-02-25T23:55:04.611;
44000;17;66436;0;237614;2022-02-26T00:38:38.661;
45000;12;67472;0;235529;2022-02-26T01:22:31.374;
46000;12;74025;0;222143;2022-02-26T02:11:10.357;
47000;12;71147;0;230599;2022-02-26T02:57:37.982;
48000;17;72183;0;227654;2022-02-26T03:44:52.082;
49000;21;72404;0;227296;2022-02-26T04:32:08.354;
50000;14;71228;0;228414;2022-02-26T05:18:29.156;
51000;14;69597;0;231333;2022-02-26T06:04:08.972;
52000;15;71408;0;227730;2022-02-26T06:50:29.700;
53000;18;77245;0;217633;2022-02-26T07:41:00.013;
54000;18;73171;0;226444;2022-02-26T08:28:37.288;
55000;21;74302;0;223453;2022-02-26T09:17:10.468;
56000;24;74844;0;223652;2022-02-26T10:06:04.650;
57000;27;81752;0;213438;2022-02-26T10:59:20.238;
58000;24;77287;0;219092;2022-02-26T11:49:59.914;
59000;23;77894;0;217615;2022-02-26T12:40:37.869;
60000;14;72358;0;227820;2022-02-26T13:28:08.447;
61000;35;80936;0;213461;2022-02-26T14:20:59.848;
62000;23;80193;0;214944;2022-02-26T15:13:11.290;
63000;16;72314;0;224675;2022-02-26T16:00:31.398;
64000;24;81850;0;210825;2022-02-26T16:53:59.733;
65000;33;79685;0;213169;2022-02-26T17:45:55.946;
66000;26;73951;0;225204;2022-02-26T18:34:11.956;
67000;27;77006;0;217972;2022-02-26T19:24:30.857;
68000;26;80178;0;214512;2022-02-26T20:17:13.351;
69000;22;77121;0;219926;2022-02-26T21:08:07.034;
70000;23;77644;0;219630;2022-02-26T21:58:48.620;
71000;34;78822;0;218580;2022-02-26T22:50:20.284;
72000;26;76331;0;221732;2022-02-26T23:40:04.469;
73000;21;77104;0;219632;2022-02-27T00:30:21.518;
74000;28;81971;0;211592;2022-02-27T01:23:59.037;
75000;37;82896;0;208957;2022-02-27T02:18:22.571;
76000;34;81755;0;211158;2022-02-27T03:11:58.499;
77000;27;80915;0;214296;2022-02-27T04:04:49.913;
78000;27;80623;0;213334;2022-02-27T04:57:21.166;
79000;29;78863;0;216067;2022-02-27T05:48:35.243;
80000;32;81856;0;211225;2022-02-27T06:42:06.073;
81000;35;83069;0;211205;2022-02-27T07:36:20.478;
82000;28;82338;0;210962;2022-02-27T08:30:06.433;
