totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;timestamp;
1000;2;3789;0;31861;2022-03-10T23:30:08.984;
2000;94;9881;0;17158;2022-03-10T23:31:44.441;
3000;317;13471;0;10685;2022-03-10T23:33:54.517;
4000;489;15284;0;8237;2022-03-10T23:36:19.875;
5000;635;16787;0;6151;2022-03-10T23:39:00.043;
6000;642;17083;0;6633;2022-03-10T23:41:45.524;
7000;711;17286;0;5456;2022-03-10T23:44:32.165;
8000;742;17847;0;5402;2022-03-10T23:47:24.242;
9000;790;18087;0;3969;2022-03-10T23:50:54.679;
10000;771;17707;0;5565;2022-03-10T23:53:49.015;
11000;803;17827;0;5027;2022-03-10T23:56:40.166;
12000;794;17462;0;4415;2022-03-10T23:59:44.218;
13000;828;18207;0;4624;2022-03-11T00:02:49.850;
14000;817;17663;0;5026;2022-03-11T00:05:44.256;
15000;810;17798;0;5210;2022-03-11T00:09:28.914;
16000;796;17845;0;4890;2022-03-11T00:12:50.393;
17000;823;18222;0;4357;2022-03-11T00:15:58.763;
18000;829;18146;0;4806;2022-03-11T00:18:52.233;
19000;833;18134;0;4515;2022-03-11T00:21:47.325;
20000;836;17956;0;4490;2022-03-11T00:25:04.157;
21000;834;18157;0;4638;2022-03-11T00:28:23.885;
22000;840;17996;0;4761;2022-03-11T00:31:23.111;
23000;820;17841;0;5418;2022-03-11T00:34:16.644;
24000;842;18146;0;4821;2022-03-11T00:37:13.404;
25000;843;17876;0;4516;2022-03-11T00:40:08.466;
26000;847;18122;0;5123;2022-03-11T00:43:06.805;
27000;855;18044;0;4248;2022-03-11T00:46;
28000;852;18292;0;4321;2022-03-11T00:48:56.009;
29000;852;18506;0;4017;2022-03-11T00:53:18.549;
30000;857;18091;0;4162;2022-03-11T00:56:13.741;
31000;857;18570;0;3846;2022-03-11T00:59:12.402;
32000;859;18179;0;4245;2022-03-11T01:02:08.497;
33000;852;18436;0;4528;2022-03-11T01:05:08.757;
34000;863;18294;0;4204;2022-03-11T01:08:04.808;
35000;843;18081;0;4957;2022-03-11T01:10:59.119;
36000;864;18494;0;4596;2022-03-11T01:13:57.184;
37000;861;18329;0;4143;2022-03-11T01:16:51.648;
38000;860;17946;0;4787;2022-03-11T01:19:42.300;
39000;868;18274;0;4376;2022-03-11T01:22:38.151;
40000;861;17970;0;4433;2022-03-11T01:25:32.048;
41000;859;18185;0;4326;2022-03-11T01:28:27.026;
42000;839;18207;0;5045;2022-03-11T01:31:19.716;
43000;865;18275;0;3997;2022-03-11T01:34:16.626;
44000;858;18333;0;3746;2022-03-11T01:37:12.338;
45000;867;18425;0;4442;2022-03-11T01:40:09.047;
46000;861;18271;0;4528;2022-03-11T01:43:04.267;
47000;855;18087;0;4414;2022-03-11T01:45:56.047;
48000;848;18251;0;4058;2022-03-11T01:48:53.691;
49000;859;17955;0;3941;2022-03-11T01:51:46.351;
50000;857;18003;0;5099;2022-03-11T01:54:37.735;
51000;852;18261;0;4525;2022-03-11T01:57:33.254;
52000;863;18127;0;4228;2022-03-11T02:00:29.466;
53000;881;18695;0;3441;2022-03-11T02:03:28.869;
54000;878;19161;0;3594;2022-03-11T02:06:30.726;
55000;858;18403;0;4611;2022-03-11T02:09:29.368;
56000;876;17976;0;4522;2022-03-11T02:12:24.790;
57000;869;18237;0;4493;2022-03-11T02:15:20.282;
58000;847;18120;0;4690;2022-03-11T02:18:12.819;
59000;874;18298;0;3817;2022-03-11T02:21:09.201;
60000;875;18424;0;4357;2022-03-11T02:24:05.446;
61000;882;18417;0;3966;2022-03-11T02:27:03.845;
62000;883;18627;0;3559;2022-03-11T02:30:02.410;
63000;868;18380;0;3482;2022-03-11T02:32:59.659;
64000;866;18516;0;4402;2022-03-11T02:35:55.207;
65000;871;18269;0;4019;2022-03-11T02:38:50.363;
66000;870;18044;0;3999;2022-03-11T02:41:42.926;
67000;858;18482;0;4277;2022-03-11T02:44:40.221;
68000;882;18701;0;3541;2022-03-11T02:47:38.854;
69000;872;18536;0;3745;2022-03-11T02:50:36.970;
70000;874;18777;0;3836;2022-03-11T02:53:36.878;
71000;877;18648;0;3708;2022-03-11T02:56:36.304;
72000;881;18190;0;3558;2022-03-11T02:59:31.306;
73000;886;18509;0;3377;2022-03-11T03:02:26.177;
74000;883;18996;0;3372;2022-03-11T03:05:28.293;
75000;884;18258;0;3670;2022-03-11T03:08:22.059;
76000;869;18516;0;3812;2022-03-11T03:11:18.832;
77000;888;18801;0;3890;2022-03-11T03:14:20.538;
78000;880;18266;0;3422;2022-03-11T03:17:13.611;
79000;886;18499;0;3752;2022-03-11T03:20:11.983;
80000;895;18897;0;2749;2022-03-11T03:23:13.941;
81000;891;18457;0;3238;2022-03-11T03:26:12.871;
82000;894;18897;0;3507;2022-03-11T03:29:13.884;
83000;883;19053;0;3272;2022-03-11T03:32:15.861;
84000;859;18110;0;4536;2022-03-11T03:35:11.145;
85000;876;18571;0;3944;2022-03-11T03:38:10.855;
86000;882;18526;0;4004;2022-03-11T03:41:10.041;
87000;893;19033;0;3451;2022-03-11T03:44:12.206;
88000;883;18924;0;4036;2022-03-11T03:47:15.144;
89000;880;18646;0;3248;2022-03-11T03:50:13.346;
90000;874;18372;0;4372;2022-03-11T03:53:08.884;
91000;881;18116;0;4120;2022-03-11T03:56:05.656;
92000;874;18258;0;3893;2022-03-11T03:59:01.984;
93000;891;19049;0;3296;2022-03-11T04:02:05.001;
94000;893;18550;0;3717;2022-03-11T04:05:04.567;
95000;876;18439;0;3855;2022-03-11T04:08:03.082;
96000;887;18789;0;3160;2022-03-11T04:11:03.264;
97000;893;18755;0;3393;2022-03-11T04:14:03.543;
98000;892;18563;0;3317;2022-03-11T04:17:02.553;
99000;871;18562;0;3974;2022-03-11T04:20:01.044;
100000;897;18576;0;3044;2022-03-11T04:22:59.826;
101000;899;18807;0;3207;2022-03-11T04:26:00.350;
102000;878;18810;0;4203;2022-03-11T04:29:00.820;
103000;877;18603;0;3360;2022-03-11T04:32:00.976;
104000;899;18948;0;3527;2022-03-11T04:35:02.036;
105000;910;18720;0;2756;2022-03-11T04:38:01.684;
106000;873;18605;0;4133;2022-03-11T04:41:00.436;
107000;889;18751;0;3265;2022-03-11T04:43:59.731;
