totalGamesPlayed;gamesWonInSeries;movesInSeries;cellsToUnCoverInSeries;timestamp;
1000;93;72212;242964;2022-04-17T11:48:37.320;
2000;121;84871;221343;2022-04-17T12:32:24.909;
3000;165;92521;209650;2022-04-17T13:20:04.414;
4000;140;88963;214388;2022-04-17T13:50:58.355;
5000;153;91680;210026;2022-04-17T14:20:28.862;
6000;145;88397;218179;2022-04-17T14:48:55.952;
7000;165;95947;204410;2022-04-17T15:19:48.241;
8000;147;88027;217109;2022-04-17T15:48:09.645;
9000;147;91256;212636;2022-04-17T16:17:34.113;
10000;144;90759;211512;2022-04-17T16:46:50.870;
11000;130;84072;223428;2022-04-17T17:13:55.058;
12000;160;92940;209899;2022-04-17T17:43:48.120;
13000;181;99391;197831;2022-04-17T18:15:46.541;
14000;151;96847;200975;2022-04-17T18:46:56.454;
15000;187;103334;190605;2022-04-17T19:20:12.710;
16000;166;96653;202951;2022-04-17T19:51:19.837;
17000;166;97585;200597;2022-04-17T20:22:45.161;
18000;158;89652;214415;2022-04-17T20:51:34.665;
19000;167;93934;208620;2022-04-17T21:21:46.247;
20000;152;95654;204577;2022-04-17T21:52:31.721;
21000;185;98218;201079;2022-04-17T22:24:06.937;
22000;147;87736;218235;2022-04-17T22:52:19.038;
23000;187;101815;192769;2022-04-17T23:25:02.731;
24000;159;91644;211708;2022-04-17T23:54:29.807;
25000;180;99309;197350;2022-04-18T00:26:32.293;
26000;144;87330;218110;2022-04-18T00:54:36.799;
27000;144;88723;218089;2022-04-18T01:23:08.104;
28000;157;91043;211948;2022-04-18T01:52:25.299;
29000;169;93222;208378;2022-04-18T02:22:24.333;
30000;167;93461;207452;2022-04-18T02:52:29.791;
31000;154;86684;220742;2022-04-18T03:20:21.200;
32000;166;92594;209265;2022-04-18T03:50:03.754;
33000;153;91986;208098;2022-04-18T04:19:37.826;
34000;164;91517;210309;2022-04-18T04:49:09.341;
35000;188;98399;201205;2022-04-18T05:20:48.291;
36000;166;95507;205105;2022-04-18T05:51:29.238;
37000;148;87180;219137;2022-04-18T06:19:31.987;
38000;150;89417;214715;2022-04-18T06:48:15.984;
39000;159;96188;204137;2022-04-18T07:19:12.185;
40000;168;95292;205387;2022-04-18T07:49:52.365;
41000;145;93217;207641;2022-04-18T08:19:51.927;
42000;149;86247;217289;2022-04-18T08:47:34.119;
43000;156;92901;209441;2022-04-18T09:17:24.059;
44000;146;93021;208425;2022-04-18T09:47:18.292;
45000;179;94786;206560;2022-04-18T10:17:43.988;
46000;185;99788;196752;2022-04-18T10:49:46.564;
47000;185;99110;198097;2022-04-18T11:21:41.393;
48000;183;102433;193083;2022-04-18T11:54:34.442;
49000;158;96474;204349;2022-04-18T12:25:37.160;
50000;161;92090;209665;2022-04-18T12:55:10.158;
51000;159;92558;209824;2022-04-18T13:24:50.767;
52000;172;94777;205821;2022-04-18T13:55:15.522;
53000;177;99810;198664;2022-04-18T14:27:15.119;
54000;159;90754;213067;2022-04-18T14:56:24.940;
55000;135;92253;210837;2022-04-18T15:26:13.567;
56000;173;96132;203911;2022-04-18T15:57:27.310;
57000;164;93916;206658;2022-04-18T16:27:46.158;
58000;173;96415;204168;2022-04-18T16:58:42.065;
59000;165;96010;203363;2022-04-18T17:29:30.248;
60000;151;92841;207957;2022-04-18T17:59:15.845;
61000;163;95151;204853;2022-04-18T18:29:46.873;
62000;151;93130;207290;2022-04-18T18:59:38.037;
63000;170;90164;213789;2022-04-18T19:28:33.692;
64000;154;92997;208591;2022-04-18T19:58:23.630;
65000;180;97365;201529;2022-04-18T20:29:41.408;
66000;180;99027;198161;2022-04-18T21:01:27.536;
67000;163;98925;198745;2022-04-18T21:33:12.431;
68000;159;97110;201266;2022-04-18T22:04:22.434;
69000;168;94322;207516;2022-04-18T22:34:37.846;
70000;164;95859;203394;2022-04-18T23:05:24.676;
71000;184;102305;194065;2022-04-18T23:38:14.560;
72000;165;93146;206907;2022-04-19T00:08:09.746;
73000;172;101103;194584;2022-04-19T00:40:58.380;
74000;167;94475;205354;2022-04-19T01:11:21.074;
75000;178;94951;206584;2022-04-19T01:41:53.446;
76000;190;97488;201954;2022-04-19T02:13:16.123;
77000;181;97054;201804;2022-04-19T02:44:27.383;
78000;154;92499;209917;2022-04-19T03:14:12.613;
79000;167;90407;214012;2022-04-19T03:43:15.529;
80000;166;96024;203679;2022-04-19T04:14:10.215;
81000;193;100675;195194;2022-04-19T04:46:38.859;
82000;185;101448;193844;2022-04-19T05:19:15.530;
83000;181;99774;198195;2022-04-19T05:51:16.003;
84000;171;94208;205777;2022-04-19T06:21:31.777;
85000;167;98586;199691;2022-04-19T06:53:09.834;
86000;158;89367;214343;2022-04-19T07:21:52.301;
87000;144;88317;216806;2022-04-19T07:50:13.770;
88000;166;92632;209433;2022-04-19T08:20:02.233;
89000;167;96576;203222;2022-04-19T08:51:02.493;
90000;160;91321;211293;2022-04-19T09:20:21.155;
91000;117;81118;229467;2022-04-19T09:46:25.054;
92000;184;92249;210048;2022-04-19T10:16:01.789;
93000;151;95664;204126;2022-04-19T10:46:46.067;
94000;158;88874;214865;2022-04-19T11:15:18.782;
95000;167;98226;200782;2022-04-19T11:46:51.830;
96000;195;102578;191552;2022-04-19T12:19:52.858;
97000;154;97068;199041;2022-04-19T12:51:03.712;
98000;158;94385;206944;2022-04-19T13:21:32.562;
99000;174;94337;208307;2022-04-19T13:52:02.181;
100000;196;98782;197714;2022-04-19T14:24:04.912;
101000;189;99150;199205;2022-04-19T14:56:03.378;
102000;169;95790;204472;2022-04-19T15:26:56.613;
103000;182;93959;208661;2022-04-19T15:57:15.322;
104000;171;94374;206960;2022-04-19T16:27:44.229;
105000;181;93134;206784;2022-04-19T16:57:47.203;
106000;164;94389;206451;2022-04-19T17:28:14.958;
107000;164;92020;211765;2022-04-19T17:57:52.974;
108000;164;90268;213992;2022-04-19T18:26:59.606;
109000;140;80833;228627;2022-04-19T18:53:04.289;
110000;171;102277;192817;2022-04-19T19:26:02.446;
111000;166;87421;218896;2022-04-19T19:57:26.851;
112000;188;95280;204314;2022-04-19T20:28:04.436;
113000;155;86911;218845;2022-04-19T20:56:00.105;
114000;151;92493;208787;2022-04-19T21:25:41.595;
115000;161;94879;204868;2022-04-19T21:56:09.542;
