using 5x5 convs 0.0001 learning rate
totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;0;2303;0;351887;
2000;0;1999;0;351866;
3000;0;2102;0;351994;
4000;0;2053;0;353026;
5000;0;2116;0;353036;
6000;0;2546;0;350899;
7000;0;4205;0;345211;
8000;0;7016;0;336688;
9000;0;8575;0;332633;
10000;0;10348;0;331183;
11000;0;12167;0;326067;
12000;0;13229;0;321874;
13000;0;14338;0;321228;
14000;0;16144;0;317830;
15000;0;17466;0;314279;
16000;0;18033;0;314754;
17000;0;18985;0;312129;
18000;0;19819;0;309856;
19000;0;21650;0;306504;
20000;0;24037;0;301657;
21000;0;26113;0;297503;
22000;0;26864;0;296419;
