totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;0;2649;0;30221;
2000;12;6366;0;18097;
3000;62;9172;0;13875;
4000;140;10253;0;11558;
5000;171;11040;0;10296;
6000;211;12162;0;9279;
7000;227;12356;0;9022;
8000;288;12804;0;7872;
9000;312;13400;0;7876;
10000;332;13902;0;7388;
11000;364;13858;0;6933;
12000;401;13930;0;6622;
13000;431;14640;0;6035;
14000;456;15495;0;5184;
15000;460;14779;0;6325;
16000;479;15177;0;6093;
17000;500;15428;0;5806;
18000;480;15775;0;5274;
19000;517;16009;0;5592;
20000;503;15489;0;5161;
21000;554;15938;0;4634;
22000;544;15685;0;5859;
23000;572;16441;0;4399;
24000;630;16234;0;4163;
25000;626;16575;0;3300;
26000;581;16319;0;4318;
27000;611;16136;0;4589;
28000;621;16852;0;4075;
29000;653;16544;0;3754;
30000;644;16825;0;3640;
31000;633;16842;0;3433;
32000;658;16701;0;3490;
33000;670;16718;0;3616;
34000;672;17077;0;2862;
35000;677;17094;0;2795;
36000;689;16813;0;3364;
37000;682;16972;0;3323;
38000;703;17072;0;3710;
39000;711;17024;0;3302;
40000;696;16970;0;2844;
41000;710;16989;0;3199;
42000;723;17104;0;3299;
43000;716;17245;0;3067;
44000;698;17195;0;3283;
45000;700;17504;0;3127;
46000;715;17161;0;3349;
47000;742;17299;0;2622;
48000;733;17424;0;2641;
49000;736;17255;0;3089;
50000;716;17022;0;3174;
51000;745;17441;0;3071;
52000;757;17266;0;2764;
53000;760;17675;0;2333;
54000;744;17480;0;2571;
55000;766;17508;0;2284;
56000;741;17372;0;3147;
57000;754;17378;0;2508;
58000;754;17621;0;2712;
59000;762;18004;0;2547;
60000;758;17588;0;2462;
61000;753;17328;0;2887;
62000;758;17188;0;3129;
63000;739;17761;0;2801;
64000;783;17491;0;2944;
65000;778;17601;0;2695;
66000;785;17474;0;2653;
67000;755;17490;0;2526;
68000;784;17784;0;3010;
69000;792;17619;0;2421;
70000;768;17414;0;2362;
71000;773;17978;0;2310;
72000;788;17463;0;2814;
73000;785;17759;0;2628;
74000;772;17507;0;2290;
75000;774;17518;0;2554;
76000;787;17564;0;2487;
77000;790;17687;0;2604;
78000;788;17853;0;2447;
79000;798;17680;0;1896;
80000;788;17668;0;2656;
81000;797;17852;0;2440;
82000;788;17664;0;2267;
83000;791;17919;0;2327;
84000;793;17942;0;1939;
85000;797;17357;0;2474;
86000;796;17751;0;2685;
87000;813;17730;0;2407;
88000;787;17758;0;2821;
89000;770;17508;0;2861;
90000;795;17995;0;2299;
91000;805;17871;0;2582;
92000;797;17654;0;2650;
93000;790;17535;0;2255;
94000;807;17465;0;2469;
95000;822;17722;0;1774;
96000;815;17570;0;2074;
97000;803;17785;0;2391;
98000;803;18051;0;2540;
99000;819;17954;0;1870;
100000;829;17844;0;2222;
101000;828;17834;0;1898;
102000;820;17967;0;2139;
103000;820;17821;0;2340;
104000;810;17793;0;1808;
105000;827;18056;0;1808;
106000;827;18176;0;1931;
107000;829;18147;0;1944;
108000;825;17551;0;2337;
109000;800;17802;0;2205;
110000;798;17867;0;2371;
111000;804;18347;0;2054;
112000;801;17771;0;2374;
113000;811;18311;0;2129;
114000;795;18080;0;2198;
115000;827;17851;0;2266;
116000;816;17597;0;2480;
117000;829;17769;0;2147;
118000;812;17861;0;1995;
119000;820;17453;0;2160;
120000;842;17862;0;2097;
121000;827;17972;0;2107;
122000;805;17819;0;2627;
123000;814;18008;0;2069;
124000;820;17914;0;2243;
125000;828;17783;0;2258;
126000;823;17879;0;2286;
127000;838;17645;0;2081;
128000;821;17815;0;1693;
129000;817;17845;0;2199;
130000;817;17979;0;2324;
131000;827;17927;0;2263;
132000;830;17726;0;2015;
133000;809;18238;0;2050;
134000;833;17908;0;1865;
135000;867;17794;0;1556;
136000;827;17934;0;1949;
137000;850;18108;0;1762;
138000;841;18002;0;2239;
139000;840;18044;0;1920;
140000;847;17825;0;1874;
141000;855;17844;0;1907;
142000;831;17811;0;2148;
143000;852;18467;0;1618;
144000;829;17774;0;2184;
145000;839;17800;0;1977;
146000;831;17762;0;2137;
147000;850;18005;0;1892;
148000;837;17917;0;2508;
149000;838;18106;0;1583;
150000;841;18081;0;2052;
151000;856;18088;0;1560;
152000;840;17847;0;2314;
153000;839;17611;0;2275;
154000;855;18254;0;1709;
155000;855;17365;0;2087;
156000;852;18279;0;1746;
157000;828;17588;0;1962;
158000;841;17846;0;1750;
159000;842;17820;0;2538;
160000;855;18085;0;1797;
161000;848;18032;0;2051;
162000;839;17918;0;1938;
163000;853;17895;0;2086;
164000;827;18152;0;1768;
165000;863;18320;0;1276;
166000;853;18032;0;1899;
167000;843;17884;0;2199;
168000;839;18121;0;1990;
169000;837;18071;0;2040;
170000;836;18052;0;1869;
171000;861;18120;0;2040;
172000;842;17765;0;1941;
173000;860;17704;0;1609;
174000;848;17852;0;1827;
175000;845;18142;0;2047;
176000;848;17909;0;1873;
177000;868;18269;0;1638;
178000;871;18227;0;1181;
179000;873;18157;0;1692;
180000;834;18102;0;2007;
181000;849;17691;0;1888;
182000;847;18220;0;1681;
183000;858;18111;0;1356;
184000;860;18081;0;1454;
185000;842;17540;0;1624;
186000;847;18110;0;1898;
187000;860;18204;0;1673;
188000;840;18101;0;1935;
189000;862;18003;0;1461;
190000;861;17855;0;1834;
191000;871;18174;0;1627;
192000;856;18181;0;1772;
193000;853;18169;0;2003;
194000;844;18290;0;1698;
195000;854;18222;0;1584;
196000;855;18100;0;1554;
197000;832;18383;0;2459;
198000;873;18193;0;1600;
199000;865;17953;0;1692;
200000;856;18190;0;1644;
201000;850;17604;0;1939;
202000;863;18253;0;1316;
203000;854;18219;0;1613;
204000;877;18078;0;1456;
205000;865;18072;0;1822;
206000;841;17811;0;1971;
207000;859;18429;0;1896;
208000;860;18173;0;1630;
209000;842;18240;0;1901;
210000;871;17967;0;1538;
211000;851;18206;0;1867;
212000;862;17952;0;1753;
213000;850;18115;0;2012;
214000;867;17903;0;1876;
215000;847;17778;0;1924;
216000;866;18091;0;1900;
217000;850;17884;0;1608;
218000;876;18050;0;1776;
219000;864;17746;0;1664;
220000;860;17975;0;1957;
221000;857;18122;0;1590;
222000;867;18185;0;1681;
223000;869;18004;0;1656;
224000;867;18277;0;1577;
225000;858;18365;0;1508;
226000;850;17955;0;1683;
227000;888;18032;0;1238;
228000;874;18047;0;1786;
229000;885;18554;0;1123;
230000;844;18293;0;2025;
231000;864;18241;0;1851;
232000;855;17760;0;1602;
233000;885;18231;0;1339;
234000;864;18037;0;1572;
235000;862;17900;0;1974;
236000;861;18109;0;1730;
237000;875;17910;0;1452;
238000;865;17934;0;1416;
239000;866;17992;0;1662;
240000;874;17989;0;1641;
241000;861;17913;0;1449;
242000;857;17669;0;1894;
243000;867;17717;0;1618;
244000;861;18037;0;1739;
245000;857;17967;0;1927;
246000;882;18410;0;1957;
