totalgamesplayed;wonincurrentSeries
10000;197;
20000;417;
30000;503;
40000;612;
50000;741;
60000;711;
70000;759;
80000;963;
90000;901;
100000;1016;
110000;1171;
120000;1177;
130000;1216;
140000;1235;
150000;1341;
160000;1383;
170000;1450;
180000;1516;
190000;1534;
200000;1525;
210000;1664;
220000;1681;
230000;1779;
240000;1717;
250000;1738;
260000;1811;
270000;1771;
280000;1874;
290000;1862;
300000;1847;
310000;1869;
320000;1864;
330000;2076;
340000;1961;
350000;1956;
360000;1986;
370000;2026;
380000;2074;
390000;2035;
400000;2062;
410000;2044;
420000;2087;
430000;2168;
440000;2151;
450000;2186;
460000;2223;
470000;2235;
480000;2216;
490000;2255;
500000;2150;
510000;2219;
520000;2150;
530000;2194;
540000;2273;
550000;2315;
560000;2216;
570000;2317;
580000;2222;
590000;2174;
600000;2291;
610000;2200;
620000;2291;
630000;2266;
640000;2234;
650000;2198;
660000;2327;
670000;2283;
680000;2290;
690000;2196;
700000;2372;
710000;2266;
720000;2369;
730000;2265;
740000;2229;
750000;2311;
760000;2224;
770000;2386;
780000;2392;
790000;2286;
800000;2371;
810000;2374;
820000;2311;
830000;2396;
840000;2446;
850000;2356;
860000;2377;
870000;2390;
880000;2325;
890000;2318;
900000;2386;
910000;2420;
920000;2396;
930000;2260;
940000;2338;
950000;2410;
960000;2413;
970000;2241;
980000;2371;
990000;2397;
1000000;2397;
1010000;2308;
1020000;2352;
1030000;2425;
1040000;2377;
1050000;2416;
1060000;2474;
1070000;2417;
1080000;2394;
1090000;2402;
1100000;2372;
1110000;2408;
1120000;2345;
1130000;2367;
1140000;2378;
1150000;2300;
1160000;2281;
1170000;2347;
1180000;2459;
1190000;2438;
1200000;2338;
1210000;2297;
1220000;2289;
1230000;2464;
1240000;2353;
1250000;2397;
1260000;2395;
1270000;2393;
1280000;2299;
1290000;2371;
1300000;2358;
1310000;2429;
1320000;2377;
1330000;2423;
1340000;2446;
1350000;2517;
1360000;2404;
1370000;2436;
1380000;2382;
1390000;2539;
1400000;2358;
1410000;2466;
1420000;2412;
1430000;2353;
1440000;2372;
1450000;2430;
1460000;2313;
1470000;2382;
1480000;2358;
1490000;2349;
1500000;2341;
1510000;2340;
1520000;2353;
1530000;2421;
1540000;2404;
1550000;2436;
1560000;2380;
1570000;2442;
1580000;2490;
1590000;2395;
1600000;2438;
