totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
10000;111;63464;53575;188420;
20000;352;79385;69737;165661;
30000;565;87909;78474;150047;
40000;844;93353;84197;143362;
50000;1064;96885;87949;140077;
60000;1381;101095;92476;131056;
70000;1541;101835;93376;129190;
80000;1685;104953;96638;124649;
90000;1952;107347;99300;124495;
100000;2068;107797;99865;120381;
110000;2221;109165;101385;117830;
120000;2349;110900;103249;116673;
130000;2402;111182;103584;114765;
140000;2686;114454;107140;109739;
150000;2646;114786;107432;112729;
160000;2773;115321;108095;110121;
170000;2870;116319;109188;109756;
180000;3045;117462;110507;105553;
190000;3118;117211;110329;104916;
200000;3093;117527;110620;103343;
210000;3178;118750;111929;104643;
220000;3160;118759;111919;104955;
230000;3226;120374;113599;104551;
240000;3120;118810;111931;107401;
250000;3243;120045;113287;103850;
260000;3350;119910;113260;104142;
270000;3286;120041;113327;104870;
280000;3236;120416;113652;104362;
290000;3334;121288;114622;102868;
300000;3482;121614;115097;99888;
310000;3474;122040;115514;100338;
320000;3442;121380;114821;102946;
330000;3278;119367;112645;103637;
340000;3389;122320;115710;102259;
350000;3416;122555;115971;100195;
360000;3411;122194;115604;102441;
370000;3493;123031;116524;101504;
380000;3492;121163;114656;99484;
390000;3516;121084;114599;98769;
400000;3349;121140;114490;101265;
410000;3522;122113;115635;101705;
420000;3581;121870;115451;98792;
430000;3714;124433;118146;97029;
440000;3501;122799;116301;100582;
450000;3661;124599;118260;97739;
460000;3408;122294;115701;104192;
470000;3544;120939;114483;101596;
480000;3637;123262;116899;99019;
490000;3608;122508;116116;100359;
500000;3565;123592;117158;100484;
510000;3804;125206;119010;97754;
520000;3691;123595;117285;97254;
530000;3772;124991;118764;95969;
540000;3623;123581;117204;99421;
550000;3634;123568;117202;98361;
560000;3570;124138;117708;98238;
570000;3684;123868;117551;95877;
580000;3698;125006;118705;96899;
590000;3719;124061;117779;96042;
600000;3699;124279;117979;97847;
610000;3875;125396;119270;93328;
620000;3901;125952;119854;92483;
630000;3859;127046;120904;94710;
640000;4025;126742;120768;92546;
650000;3764;125693;119457;98888;
660000;3810;124897;118707;95638;
670000;3938;127232;121170;93577;
680000;3841;124465;118305;95999;
690000;3710;123825;117536;100058;
700000;3898;125452;119349;95226;
710000;3682;123441;117124;99889;
720000;3877;125924;119801;96889;
730000;3932;126021;119952;96543;
740000;4177;129369;123546;91088;
750000;3865;125986;119851;97844;
760000;3647;123456;117103;98598;
770000;3873;126450;120323;95115;
780000;3907;125653;119560;94827;
790000;3869;124353;118222;95500;
800000;3873;125942;119815;95800;
810000;3977;127182;121159;95728;
820000;3793;125106;118899;96041;
830000;3760;125003;118764;97447;
840000;3851;125671;119521;94931;
850000;3854;126825;120680;95723;
860000;3948;126121;120068;94475;
870000;3857;125355;119212;95136;
880000;3941;126836;120777;94563;
890000;3949;126044;119993;97086;
900000;3891;126405;120296;94151;
910000;3867;127025;120892;95539;
920000;3981;127828;121810;94180;
930000;3956;126324;120279;95092;
940000;3927;125923;119850;94470;
950000;3976;127814;121790;92177;
960000;4007;126752;120760;93973;
970000;3964;127310;121274;94278;
980000;3909;127551;121459;96328;
990000;4123;128238;122362;92280;
1000000;4022;126850;120871;92684;
1010000;3934;126517;120451;95486;
1020000;3923;126277;120200;94130;
1030000;3987;126479;120467;94217;
1040000;3964;127461;121425;93365;
1050000;3985;127197;121181;95317;
1060000;4009;127641;121651;93466;
1070000;4087;127350;121436;92724;
1080000;3979;125994;119973;93068;
1090000;4022;128120;122142;92152;
1100000;4036;127376;121412;93503;
1110000;3886;127387;121274;95350;
1120000;3988;127903;121890;95072;
1130000;3910;126974;120884;97479;
1140000;4150;126856;121007;92650;
1150000;4149;128712;122860;91228;
1160000;4204;129528;123732;90085;
1170000;4206;129548;123755;91853;
1180000;3959;127647;121606;93789;
1190000;3933;126843;120775;94049;
1200000;3792;126499;120291;97540;
1210000;3951;127142;121094;95365;
1220000;3957;126960;120916;95633;
1230000;4080;128555;122635;90766;
1240000;4146;128835;122981;92863;
1250000;3964;127194;121159;95922;
1260000;3672;124224;117896;101810;
1270000;3951;127604;121555;92959;
