totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;14;5587;4601;20689;2022-04-21T14:04:42.412;
2000;16;6508;5524;20671;2022-04-21T14:06:12.556;
3000;26;6934;5960;19797;2022-04-21T14:07:47.996;
4000;16;6517;5533;19878;2022-04-21T14:09:15.380;
5000;27;6765;5792;19084;2022-04-21T14:10:44.525;
6000;35;6740;5775;18774;2022-04-21T14:12:14.275;
7000;54;7395;6449;17873;2022-04-21T14:13:52.473;
8000;45;7149;6194;18331;2022-04-21T14:15:29.196;
9000;40;7587;6627;17383;2022-04-21T14:17:07.604;
10000;39;7897;6936;17455;2022-04-21T14:18:48.890;
11000;41;7881;6922;16969;2022-04-21T14:20:29.012;
12000;44;8206;7250;16225;2022-04-21T14:22:16.582;
13000;37;8167;7204;16418;2022-04-21T14:23:59.554;
14000;62;8230;7292;16830;2022-04-21T14:25:43.184;
15000;48;8559;7607;16666;2022-04-21T14:27:31.998;
16000;59;8797;7856;15826;2022-04-21T14:29:23.949;
17000;65;8726;7791;15847;2022-04-21T14:31:12.642;
18000;74;9245;8319;15154;2022-04-21T14:33:04.965;
19000;55;9026;8081;15648;2022-04-21T14:34:56.804;
20000;66;8905;7971;15061;2022-04-21T14:36:44.613;
21000;65;9056;8121;15141;2022-04-21T14:38:34.418;
22000;69;9273;8342;14174;2022-04-21T14:40:26.088;
23000;81;9464;8545;14891;2022-04-21T14:42:20.271;
24000;69;9069;8138;14749;2022-04-21T14:44:08.751;
25000;89;9793;8882;14255;2022-04-21T14:46:05.531;
26000;84;9698;8782;14008;2022-04-21T14:48:00.943;
27000;100;9767;8868;15158;2022-04-21T14:49:57.674;
28000;98;9780;8877;14627;2022-04-21T14:51:52.159;
29000;108;9900;9008;13907;2022-04-21T14:53:51.297;
30000;110;9772;8882;14205;2022-04-21T14:55:46.171;
31000;102;10002;9104;13735;2022-04-21T14:57:44.111;
32000;113;9772;8885;14866;2022-04-21T14:59:39.036;
33000;117;10268;9385;13613;2022-04-21T15:01:41.506;
34000;125;10308;9433;13545;2022-04-21T15:03:41.113;
35000;122;10542;9664;13572;2022-04-21T15:05:47.059;
36000;146;10609;9755;13659;2022-04-21T15:07:51.052;
37000;143;10324;9467;13215;2022-04-21T15:09:51.366;
38000;133;10844;9977;13025;2022-04-21T15:11:59.368;
39000;154;10923;10077;12520;2022-04-21T15:14:08.594;
40000;147;10895;10042;13629;2022-04-21T15:16:16.458;
41000;142;10687;9829;13008;2022-04-21T15:18:22.222;
42000;159;10915;10074;13405;2022-04-21T15:20:31.314;
43000;143;10607;9750;13334;2022-04-21T15:22:34.010;
44000;166;11043;10209;12489;2022-04-21T15:24:41.939;
45000;146;11277;10423;12137;2022-04-21T15:26:53.649;
46000;151;11245;10396;12653;2022-04-21T15:29:03.387;
47000;163;11108;10271;12225;2022-04-21T15:31:13.461;
48000;125;10634;9759;13563;2022-04-21T15:33:18.631;
49000;162;11104;10266;11976;2022-04-21T15:35:26.674;
50000;169;10798;9967;12812;2022-04-21T15:37:31.524;
51000;159;11246;10405;12758;2022-04-21T15:39:42.529;
52000;176;11303;10479;11508;2022-04-21T15:41:53.527;
53000;151;11165;10316;12775;2022-04-21T15:44:01.839;
54000;164;11037;10201;11880;2022-04-21T15:46:09.100;
55000;183;11027;10210;12629;2022-04-21T15:48:17.687;
56000;173;11310;10483;12465;2022-04-21T15:50:31.750;
57000;171;11282;10453;11742;2022-04-21T15:52:44.208;
58000;186;11157;10343;12411;2022-04-21T15:54:55.942;
59000;195;11338;10533;11285;2022-04-21T15:57:04.801;
60000;197;10851;10048;12355;2022-04-21T15:59:08.606;
61000;177;11535;10712;12142;2022-04-21T16:01:22.683;
62000;189;11218;10408;12079;2022-04-21T16:03:30.164;
63000;224;11643;10866;11312;2022-04-21T16:05:43.279;
64000;189;11626;10815;12031;2022-04-21T16:07:59.729;
65000;166;11145;10311;13154;2022-04-21T16:10:07.007;
66000;198;11124;10322;12164;2022-04-21T16:12:13.158;
67000;199;11577;10776;11951;2022-04-21T16:14:26.095;
68000;187;11414;10601;12314;2022-04-21T16:16:33.984;
69000;197;11646;10843;12194;2022-04-21T16:18:48.917;
70000;200;11553;10753;11716;2022-04-21T16:20:59.647;
71000;202;11521;10723;11695;2022-04-21T16:23:10.360;
72000;202;11497;10699;12007;2022-04-21T16:25:17.663;
73000;226;11768;10994;11503;2022-04-21T16:27:32.802;
74000;229;11276;10505;12246;2022-04-21T16:29:39.937;
75000;225;11549;10774;11774;2022-04-21T16:31:52.877;
76000;223;11487;10710;11703;2022-04-21T16:34:02.608;
77000;201;11470;10671;11528;2022-04-21T16:36:11.450;
78000;225;11683;10908;11273;2022-04-21T16:38:23.765;
79000;211;11645;10857;11229;2022-04-21T16:40:34.880;
80000;203;11489;10691;11377;2022-04-21T16:42:44.026;
81000;210;11285;10495;11686;2022-04-21T16:44:51.178;
82000;230;11751;10981;11356;2022-04-21T16:47:05.177;
83000;198;11465;10664;11274;2022-04-21T16:49:16.066;
84000;231;11851;11081;10928;2022-04-21T16:51:30.096;
85000;216;11490;10706;11199;2022-04-21T16:53:41.457;
86000;202;11473;10676;11752;2022-04-21T16:55:51.979;
87000;216;11553;10769;11633;2022-04-21T16:58:02.700;
88000;209;11465;10673;11875;2022-04-21T17:00:22.904;
89000;220;11579;10800;11396;2022-04-21T17:02:38.212;
90000;220;11569;10789;12149;2022-04-21T17:04:49.565;
91000;235;11877;11111;12226;2022-04-21T17:07:04.051;
92000;217;11939;11157;10820;2022-04-21T17:09:18.432;
93000;213;11849;11062;12010;2022-04-21T17:11:31.647;
94000;232;11843;11075;11072;2022-04-21T17:13:46.317;
95000;236;11863;11098;10527;2022-04-21T17:16:00.520;
96000;244;12053;11297;10240;2022-04-21T17:18:16.646;
97000;233;11975;11208;11288;2022-04-21T17:20:32.176;
98000;231;11773;11005;11255;2022-04-21T17:22:45.035;
99000;230;11854;11083;10985;2022-04-21T17:24:59.684;
100000;234;11626;10860;11687;2022-04-21T17:27:09.308;
101000;245;11711;10956;12129;2022-04-21T17:29:20.663;
102000;218;11663;10882;11482;2022-04-21T17:31:32.369;
103000;229;11394;10622;12041;2022-04-21T17:33:40.927;
104000;259;12022;11281;10602;2022-04-21T17:35:55.207;
105000;227;12088;11316;11682;2022-04-21T17:38:11.853;
106000;253;11810;11062;11137;2022-04-21T17:40:24.230;
107000;242;11858;11100;10967;2022-04-21T17:42:36.729;
108000;241;11686;10927;11591;2022-04-21T17:44:46.966;
109000;227;11886;11113;11359;2022-04-21T17:46:58.786;
110000;217;12037;11254;11257;2022-04-21T17:49:16.483;
111000;243;11947;11190;10705;2022-04-21T17:51:31.534;
112000;241;11509;10750;11731;2022-04-21T17:53:39.922;
113000;250;12162;11413;11031;2022-04-21T17:55:57.185;
114000;230;11900;11130;11726;2022-04-21T17:58:11.450;
115000;244;11823;11067;11190;2022-04-21T18:00:23.983;
116000;254;12103;11356;10968;2022-04-21T18:02:39.607;
117000;229;12028;11257;11573;2022-04-21T18:04:54.964;
118000;259;12030;11290;10735;2022-04-21T18:07:09.135;
119000;232;11818;11049;11623;2022-04-21T18:09:23.080;
120000;248;12105;11354;11811;2022-04-21T18:11:40.367;
121000;232;12065;11296;11412;2022-04-21T18:13:56.718;
122000;240;11662;10902;12047;2022-04-21T18:16:07.813;
123000;256;11895;11151;11532;2022-04-21T18:18:19.876;
124000;256;12005;11261;10964;2022-04-21T18:20:35.848;
125000;264;11876;11140;10924;2022-04-21T18:22:48.598;
126000;254;12249;11503;11143;2022-04-21T18:25:05.617;
127000;277;12465;11742;10764;2022-04-21T18:27:23.796;
128000;237;12024;11262;11926;2022-04-21T18:29:40.181;
129000;261;12405;11666;10378;2022-04-21T18:31:57.330;
130000;262;12318;11579;10929;2022-04-21T18:34:14.704;
131000;247;12234;11481;11156;2022-04-21T18:36:31.661;
132000;297;12662;11959;10129;2022-04-21T18:38:53.681;
133000;256;12110;11367;11090;2022-04-21T18:41:08.195;
134000;244;11957;11200;11203;2022-04-21T18:43:20.992;
135000;282;12330;11612;10646;2022-04-21T18:45:37.520;
136000;258;12247;11505;10720;2022-04-21T18:47:52.724;
137000;274;12019;11293;10903;2022-04-21T18:50:06.481;
138000;261;12306;11568;10390;2022-04-21T18:52:24.295;
139000;265;12012;11276;11312;2022-04-21T18:54:37.930;
140000;268;11862;11131;10801;2022-04-21T18:56:49.451;
141000;244;11885;11128;11147;2022-04-21T18:59:02.117;
142000;266;12095;11361;10854;2022-04-21T19:01:16.098;
143000;255;12111;11366;10671;2022-04-21T19:03:32.555;
144000;261;11938;11199;11437;2022-04-21T19:05:46.532;
145000;245;11743;10989;11763;2022-04-21T19:07:55.836;
146000;276;12028;11303;11098;2022-04-21T19:10:08.250;
147000;265;11936;11201;11284;2022-04-21T19:12:20.339;
148000;277;12256;11533;10520;2022-04-21T19:14:36.431;
149000;276;12094;11370;10508;2022-04-21T19:16:50.283;
150000;247;11987;11234;10866;2022-04-21T19:19:04.290;
151000;262;12042;11304;10536;2022-04-21T19:21:19.201;
152000;271;12160;11432;11006;2022-04-21T19:23:34.514;
153000;280;12186;11466;10651;2022-04-21T19:25:49.562;
154000;287;12410;11696;10315;2022-04-21T19:28:05.766;
155000;273;11953;11226;10706;2022-04-21T19:30:18.508;
156000;284;12176;11460;10870;2022-04-21T19:32:33.696;
157000;279;12087;11366;10707;2022-04-21T19:34:48.065;
158000;278;12420;11699;10288;2022-04-21T19:37:07.240;
159000;284;12123;11406;10652;2022-04-21T19:39:21.745;
160000;293;12159;11453;10228;2022-04-21T19:41:35.550;
161000;279;12112;11391;10092;2022-04-21T19:43:49.245;
162000;310;12567;11877;9604;2022-04-21T19:46:09.276;
163000;307;12386;11692;10455;2022-04-21T19:48:26.177;
164000;293;12336;11629;10206;2022-04-21T19:50:43.602;
165000;285;12430;11715;11120;2022-04-21T19:53:02.920;
166000;287;12098;11385;10506;2022-04-21T19:55:17.172;
167000;258;12118;11376;11195;2022-04-21T19:57:31.783;
168000;270;12026;11297;10455;2022-04-21T19:59:44.575;
169000;277;12281;11557;10834;2022-04-21T20:02:00.922;
170000;268;12160;11428;10731;2022-04-21T20:04:16.139;
171000;284;12216;11500;11295;2022-04-21T20:06:31.418;
172000;258;12011;11270;10707;2022-04-21T20:08:44.374;
173000;292;12196;11488;11627;2022-04-21T20:10:59.582;
174000;289;12357;11645;10249;2022-04-21T20:13:17.030;
175000;318;12370;11688;9671;2022-04-21T20:15:33.229;
176000;271;12221;11493;10712;2022-04-21T20:17:48.880;
